season,system,n,rmse,rmse_weighted,mae,bias
2023,eb_league,1149,1.1277888937518106,0.9928228107428324,0.8611859159391886,-0.15101319395640594
2023,proof,1149,1.1727322445644754,1.0410655179995927,0.8880870958078426,-0.23685951984570386
2023,prior,1149,1.2103261971934893,1.0705302784924238,0.9173413642869435,-0.23915500360601766
2023,naive,1149,1.3976863500346879,1.303808527224055,1.0596405376186229,-0.21329541796717197
2024,eb_league,1186,1.1234894407401823,0.9469956122582361,0.841280404373351,0.05516074733223658
2024,proof,1186,1.1285547501803894,0.949643553818985,0.848403258025847,0.01169361257523867
2024,prior,1186,1.1729844176726687,0.9914735956559696,0.8771230872760706,0.044237552767002024
2024,naive,1186,1.3369518716438755,1.1895485637283594,1.0022624116219163,-0.14485912388555336
2025,eb_league,1138,1.1356931884844608,0.972554196836791,0.8577733287374277,-0.07692849908811801
2025,proof,1138,1.151114595009182,0.9774460704266233,0.8625222605887335,-0.15719308565198414
2025,prior,1138,1.1963623490452904,1.0223876749276375,0.8982779677080504,-0.17085539998426935
2025,naive,1138,1.2866352489118738,1.1561029277653383,0.9910401779215465,-0.2313114435208423
ALL,eb_league,3473,1.1289219777664945,0.9707752065389262,0.8532701483167621,-0.056331167717292296
ALL,proof,3473,1.1507051126838481,0.9898531906958163,0.8661585573428864,-0.12587638792411132
ALL,prior,3473,1.193099265756976,1.0283746884495977,0.8973606496766138,-0.11999908054815675
ALL,naive,3473,1.3413173793679354,1.218131136458172,1.0175680738215118,-0.1958283267777902
